 Grid points 
  state        r                 ab initio             calc.           ab initio - calc        weight

XZh11                                                                           
     1       0.964240000        8463.6693            8031.2385            432.43076        0.0000E+00
     1       0.965480000        8227.6821            7803.9950            423.68709        0.0000E+00
     1       0.966720000        7996.1545            7580.7519            415.40261        0.0000E+00
     1       0.967960000        7769.0678            7361.4743            407.59352        0.0000E+00
     1       0.969200000        7546.3279            7146.1277            400.20024        0.0000E+00
     1       0.970440000        7327.8385            6934.6777            393.16078        0.0000E+00
     1       0.971680000        7113.5032            6727.0903            386.41289        0.0000E+00
     1       0.972920000        6903.2258            6523.3318            379.89404        0.0000E+00
     1       0.974160000        6696.9099            6323.3684            373.54150        0.0000E+00
     1       0.975400000        6494.4592            6127.1670            367.29227        0.0000E+00
     1       0.976640000        6295.7775            5934.6944            361.08308        0.0000E+00
     1       0.977880000        6100.7683            5745.9179            354.85043        0.0000E+00
     1       0.979120000        5909.3354            5560.8048            348.53058        0.0000E+00
     1       0.980360000        5721.3874            5379.3230            342.06444        0.0000E+00
     1       0.981600000        5536.8845            5201.4402            335.44429        0.0000E+00
     1       0.982840000        5355.8178            5027.1246            328.69315        0.0000E+00
     1       0.984080000        5178.1789            4856.3447            321.83423        0.0000E+00
     1       0.985320000        5003.9595            4689.0690            314.89054        0.0000E+00
     1       0.986560000        4833.1512            4525.2664            307.88480        0.0000E+00
     1       0.987800000        4665.7456            4364.9060            300.83955        0.0000E+00
     1       0.989040000        4501.7342            4207.9572            293.77705        0.0000E+00
     1       0.990280000        4341.1088            4054.3894            286.71937        0.0000E+00
     1       0.991520000        4183.8608            3904.1725            279.68832        0.0000E+00
     1       0.992760000        4029.9820            3757.2765            272.70551        0.0000E+00
     1       0.994000000        3879.4639            3613.6716            265.79233        0.0000E+00
     1       0.995240000        3732.2982            3473.3282            258.96990        0.0000E+00
     1       0.996480000        3588.4763            3336.2172            252.25918        0.0000E+00
     1       0.997720000        3447.9889            3202.3092            245.67970        0.0000E+00
     1       0.998960000        3310.8124            3071.5755            239.23692        0.0000E+00
     1       1.000200000        3176.9144            2943.9874            232.92699        0.0000E+00
     1       1.001440000        3046.2622            2819.5165            226.74570        0.0000E+00
     1       1.002680000        2918.8230            2698.1344            220.68862        0.0000E+00
     1       1.003920000        2794.5644            2579.8132            214.75113        0.0000E+00
     1       1.005160000        2673.4535            2464.5251            208.92835        0.0000E+00
     1       1.006400000        2555.4577            2352.2425            203.21524        0.0000E+00
     1       1.007640000        2440.5444            2242.9379            197.60654        0.0000E+00
     1       1.008880000        2328.6809            2136.5841            192.09675        0.0000E+00
     1       1.010120000        2219.8345            2033.1542            186.68021        0.0000E+00
     1       1.011360000        2113.9725            1932.6215            181.35104        0.0000E+00
     1       1.012600000        2011.0624            1834.9592            176.10316        0.0000E+00
     1       1.013840000        1911.0714            1740.1411            170.93026        0.0000E+00
     1       1.015080000        1813.9668            1648.1409            165.82588        0.0000E+00
     1       1.016320000        1719.7160            1558.9327            160.78333        0.0000E+00
     1       1.017560000        1628.2864            1472.4907            155.79573        0.0000E+00
     1       1.018800000        1539.6453            1388.7893            150.85601        0.0000E+00
     1       1.020040000        1453.7599            1307.8030            145.95690        0.0000E+00
     1       1.021280000        1370.5977            1229.5067            141.09095        0.0000E+00
     1       1.022520000        1290.1260            1153.8755            136.25051        0.0000E+00
     1       1.023760000        1212.3120            1080.8843            131.42774        0.0000E+00
     1       1.025000000        1137.1244            1010.5086            126.61575        0.0000E+00
     1       1.026240000        1064.5400            942.72404            121.81594        0.0000E+00
     1       1.027480000        994.53943            877.50623            117.03320        0.0000E+00
     1       1.028720000        927.10336            814.83112            112.27224        0.0000E+00
     1       1.029960000        862.21243            754.67483            107.53760        0.0000E+00
     1       1.031200000        799.84728            697.01363            102.83365        0.0000E+00
     1       1.032440000        739.98854            641.82398            98.164561        0.0000E+00
     1       1.033680000        682.61687            589.08254            93.534334        0.0000E+00
     1       1.034920000        627.71291            538.76612            88.946789        0.0000E+00
     1       1.036160000        575.25729            490.85172            84.405570        0.0000E+00
     1       1.037400000        525.23067            445.31652            79.914148        0.0000E+00
     1       1.038640000        477.61367            402.13786            75.475815        0.0000E+00
     1       1.039880000        432.38695            361.29326            71.093696        0.0000E+00
     1       1.041120000        389.53115            322.76041            66.770739        0.0000E+00
     1       1.042360000        349.02691            286.51719            62.509726        0.0000E+00
     1       1.043600000        310.85488            252.54161            58.313265        0.0000E+00
     1       1.044840000        274.99569            220.81189            54.183800        0.0000E+00
     1       1.046080000        241.42999            191.30638            50.123606        0.0000E+00
     1       1.047320000        210.13842            164.00362            46.134793        0.0000E+00
     1       1.048560000        181.10162            138.88231            42.219304        0.0000E+00
     1       1.049800000        154.30024            115.92131            38.378925        0.0000E+00
     1       1.051040000        129.71491            95.099642            34.615272        0.0000E+00
     1       1.052280000        107.32629            76.396488            30.929804        0.0000E+00
     1       1.053520000        87.115014            59.791192            27.323822        0.0000E+00
     1       1.054760000        69.061723            45.263259            23.798463        0.0000E+00
     1       1.056000000        53.147060            32.792349            20.354710        0.0000E+00
     1       1.057240000        39.351668            22.358279            16.993389        0.0000E+00
     1       1.058480000        27.656190            13.941021            13.715169        0.0000E+00
     1       1.059720000        18.041269            7.5207023            10.520567        0.0000E+00
     1       1.060960000        10.487547            3.0776032            7.4099437        0.0000E+00
     1       1.062200000        4.9756663           0.59215604            4.3835102        0.0000E+00
     1       1.063440000        1.4862698           0.44944183E-01        1.4413256        0.0000E+00
     1       1.064680000        0.0000000            1.4166973           -1.4166973        0.0000E+00
     1       1.065920000       0.49749947            4.6882687           -4.1907693        0.0000E+00
     1       1.067160000        2.9594108            9.8406257           -6.8812149        0.0000E+00
     1       1.068400000        7.3663764            16.854855           -9.4884783        0.0000E+00
     1       1.069640000        13.699039            25.712167           -12.013128        0.0000E+00
     1       1.070880000        21.938041            36.393903           -14.455862        0.0000E+00
     1       1.072120000        32.064025            48.881536           -16.817511        0.0000E+00
     1       1.073360000        44.057634            63.156679           -19.099045        0.0000E+00
     1       1.074600000        57.899510            79.201082           -21.301572        0.0000E+00
     1       1.075840000        73.570295            96.996639           -23.426344        0.0000E+00
     1       1.077080000        91.050633            116.52539           -25.474758        0.0000E+00
     1       1.078320000        110.32117            137.76952           -27.448357        0.0000E+00
     1       1.079560000        131.36254            160.71137           -29.348834        0.0000E+00
     1       1.080800000        154.15539            185.33342           -31.178031        0.0000E+00
     1       1.082040000        178.68036            211.61830           -32.937940        0.0000E+00
     1       1.083280000        204.91809            239.54880           -34.630702        0.0000E+00
     1       1.084520000        232.84924            269.10785           -36.258610        0.0000E+00
     1       1.085760000        262.45444            300.27855           -37.824110        0.0000E+00
     1       1.087000000        293.71432            333.04412           -39.329794        0.0000E+00
     1       1.088240000        326.60955            367.38795           -40.778407        0.0000E+00
     1       1.089480000        361.12075            403.29359           -42.172842        0.0000E+00
     1       1.090720000        397.22857            440.74471           -43.516139        0.0000E+00
     1       1.091960000        434.91365            479.72514           -44.811487        0.0000E+00
     1       1.093200000        474.15664            520.21886           -46.062219        0.0000E+00
     1       1.094440000        514.93818            562.21000           -47.271814        0.0000E+00
     1       1.095680000        557.23891            605.68280           -48.443893        0.0000E+00
     1       1.096920000        601.03947            650.62169           -49.582217        0.0000E+00
     1       1.098160000        646.32051            697.01120           -50.690691        0.0000E+00
     1       1.099400000        693.06267            744.83602           -51.773352        0.0000E+00
     1       1.100640000        741.24658            794.08096           -52.834378        0.0000E+00
     1       1.101880000        790.85290            844.73098           -53.878079        0.0000E+00
     1       1.103120000        841.86227            896.77117           -54.908897        0.0000E+00
     1       1.104360000        894.25532            950.18673           -55.931407        0.0000E+00
     1       1.105600000        948.01271            1004.9630           -56.950308        0.0000E+00
     1       1.106840000        1003.1151            1061.0855           -57.970426        0.0000E+00
     1       1.108080000        1059.5430            1118.5398           -58.996724        0.0000E+00
     1       1.109320000        1117.2773            1177.3115           -60.034258        0.0000E+00
     1       1.110560000        1176.2984            1237.3867           -61.088245        0.0000E+00
     1       1.111800000        1236.5875            1298.7511           -62.163540        0.0000E+00
     1       1.113040000        1298.1313            1361.3909           -63.259577        0.0000E+00
     1       1.114280000        1360.9201            1425.2922           -64.372091        0.0000E+00
     1       1.115520000        1424.9445            1490.4414           -65.496861        0.0000E+00
     1       1.116760000        1490.1951            1556.8249           -66.629798        0.0000E+00
     1       1.118000000        1556.6622            1624.4291           -67.766879        0.0000E+00
     1       1.119240000        1624.3366            1693.2408           -68.904219        0.0000E+00
     1       1.120480000        1693.2086            1763.2466           -70.038029        0.0000E+00
     1       1.121720000        1763.2687            1834.4334           -71.164621        0.0000E+00
     1       1.122960000        1834.5076            1906.7880           -72.280410        0.0000E+00
     1       1.124200000        1906.9157            1980.2977           -73.381920        0.0000E+00
     1       1.125440000        1980.4836            2054.9493           -74.465754        0.0000E+00
     1       1.126680000        2055.2017            2130.7303           -75.528631        0.0000E+00
     1       1.127920000        2131.0606            2207.6280           -76.567355        0.0000E+00
     1       1.129160000        2208.0508            2285.6296           -77.578824        0.0000E+00
     1       1.130400000        2286.1628            2364.7229           -78.560016        0.0000E+00
     1       1.131640000        2365.3872            2444.8952           -79.508032        0.0000E+00
     1       1.132880000        2445.7144            2526.1345           -80.420042        0.0000E+00
     1       1.134120000        2527.1350            2608.4283           -81.293283        0.0000E+00
     1       1.135360000        2609.6395            2691.7646           -82.125120        0.0000E+00
     1       1.136600000        2693.2184            2776.1314           -82.912982        0.0000E+00
     1       1.137840000        2777.8622            2861.5166           -83.654385        0.0000E+00
     1       1.139080000        2863.5615            2947.9084           -84.346916        0.0000E+00
     1       1.140320000        2950.3068            3035.2950           -84.988275        0.0000E+00
     1       1.141560000        3038.0885            3123.6647           -85.576215        0.0000E+00
     1       1.142800000        3126.8973            3213.0058           -86.108578        0.0000E+00
     1       1.144040000        3216.7235            3303.3068           -86.583296        0.0000E+00
     1       1.145280000        3307.5579            3394.5562           -86.998360        0.0000E+00
     1       1.146520000        3399.3907            3486.7426           -87.351859        0.0000E+00
     1       1.147760000        3492.2127            3579.8546           -87.641949        0.0000E+00
     1       1.149000000        3586.0141            3673.8811           -87.866964        0.0000E+00
     1       1.150240000        3680.7829            3768.8108           -88.027982        0.0000E+00
     1       1.151480000        3776.5038            3864.6327           -88.128908        0.0000E+00
     1       1.152720000        3873.1619            3961.3358           -88.173842        0.0000E+00
     1       1.153960000        3970.7420            4058.9090           -88.166987        0.0000E+00
     1       1.155200000        4069.2289            4157.3415           -88.112601        0.0000E+00
     1       1.156440000        4168.6075            4256.6226           -88.015015        0.0000E+00
     1       1.157680000        4268.8628            4356.7414           -87.878634        0.0000E+00
     1       1.158920000        4369.9794            4457.6874           -87.707945        0.0000E+00
     1       1.160160000        4471.9425            4559.4499           -87.507487        0.0000E+00
     1       1.161400000        4574.7366            4662.0186           -87.281902        0.0000E+00
     1       1.162640000        4678.3469            4765.3828           -87.035873        0.0000E+00
     1       1.163880000        4782.7581            4869.5322           -86.774176        0.0000E+00
     1       1.165120000        4887.9550            4974.4567           -86.501646        0.0000E+00
     1       1.166360000        4993.9227            5080.1458           -86.223191        0.0000E+00
     1       1.167600000        5100.6458            5186.5896           -85.943801        0.0000E+00
     1       1.168840000        5208.1093            5293.7778           -85.668513        0.0000E+00
     1       1.170080000        5316.2981            5401.7006           -85.402470        0.0000E+00
     1       1.171320000        5425.1970            5510.3479           -85.150862        0.0000E+00
     1       1.172560000        5534.7909            5619.7099           -84.918939        0.0000E+00
     1       1.173800000        5645.0647            5729.7768           -84.712046        0.0000E+00
     1       1.175040000        5756.0032            5840.5388           -84.535593        0.0000E+00
     1       1.176280000        5867.5913            5951.9863           -84.395045        0.0000E+00
     1       1.177520000        5979.8166            6064.1098           -84.293154        0.0000E+00
     1       1.178760000        6092.6741            6176.8997           -84.225515        0.0000E+00
     1       1.180000000        6206.1599            6290.3465           -84.186621        0.0000E+00
     1       1.181240000        6320.2699            6404.4409           -84.171008        0.0000E+00
     1       1.182480000        6435.0002            6519.1735           -84.173321        0.0000E+00
     1       1.183720000        6550.3470            6634.5353           -84.188255        0.0000E+00
     1       1.184960000        6666.3063            6750.5168           -84.210575        0.0000E+00
     1       1.186200000        6782.8741            6867.1092           -84.235120        0.0000E+00
     1       1.187440000        6900.0466            6984.3034           -84.256805        0.0000E+00
     1       1.188680000        7017.8197            7102.0903           -84.270609        0.0000E+00
     1       1.189920000        7136.1896            7220.4612           -84.271579        0.0000E+00
     1       1.191160000        7255.1523            7339.4072           -84.254844        0.0000E+00
     1       1.192400000        7374.7039            7458.9195           -84.215585        0.0000E+00
     1       1.193640000        7494.8405            7578.9896           -84.149070        0.0000E+00
     1       1.194880000        7615.5581            7699.6088           -84.050640        0.0000E+00
     1       1.196120000        7736.8528            7820.7685           -83.915688        0.0000E+00
     1       1.197360000        7858.7207            7942.4604           -83.739685        0.0000E+00
     1       1.198600000        7981.1578            8064.6760           -83.518195        0.0000E+00
     1       1.199840000        8104.1601            8187.4070           -83.246831        0.0000E+00
     1       1.201080000        8227.7234            8310.6452           -82.921818        0.0000E+00
     1       1.202320000        8351.8386            8434.3824           -82.543711        0.0000E+00
     1       1.203560000        8476.4953            8558.6104           -82.115086        0.0000E+00
     1       1.204800000        8601.6828            8683.3214           -81.638570        0.0000E+00
     1       1.206040000        8727.3903            8808.5072           -81.116890        0.0000E+00
     1       1.207280000        8853.6072            8934.1600           -80.552834        0.0000E+00
     1       1.208520000        8980.3228            9060.2720           -79.949260        0.0000E+00
     1       1.209760000        9107.5264            9186.8355           -79.309088        0.0000E+00
     1       1.211000000        9235.2074            9313.8427           -78.635317        0.0000E+00
     1       1.212240000        9363.3550            9441.2860           -77.931026        0.0000E+00
     1       1.213480000        9491.9586            9569.1580           -77.199346        0.0000E+00
     1       1.214720000        9621.0075            9697.4510           -76.443496        0.0000E+00
     1       1.215960000        9750.4911            9826.1578           -75.666737        0.0000E+00
     1       1.217200000        9880.3986            9955.2710           -74.872439        0.0000E+00
     1       1.218440000        10010.719            10084.783           -74.063980        0.0000E+00
     1       1.219680000        10141.443            10214.688           -73.244970        0.0000E+00
     1       1.220920000        10272.558            10344.977           -72.418788        0.0000E+00
     1       1.222160000        10404.055            10475.644           -71.589180        0.0000E+00
     1       1.223400000        10535.924            10606.681           -70.757164        0.0000E+00
     1       1.224640000        10668.164            10738.083           -69.918724        0.0000E+00
     1       1.225880000        10800.773            10869.842           -69.068715        0.0000E+00
     1       1.227120000        10933.748            11001.950           -68.202459        0.0000E+00
     1       1.228360000        11067.088            11134.403           -67.315145        0.0000E+00
     1       1.229600000        11200.790            11267.192           -66.402131        0.0000E+00
     1       1.230840000        11334.853            11400.312           -65.458642        0.0000E+00
     1       1.232080000        11469.275            11533.755           -64.480272        0.0000E+00
     1       1.233320000        11604.053            11667.516           -63.462479        0.0000E+00
     1       1.234560000        11739.187            11801.588           -62.400788        0.0000E+00
     1       1.235800000        11874.673            11935.964           -61.290993        0.0000E+00
     1       1.237040000        12010.511            12070.639           -60.128551        0.0000E+00
     1       1.238280000        12146.697            12205.606           -58.909384        0.0000E+00
     1       1.239520000        12283.230            12340.860           -57.629282        0.0000E+00
     1       1.240760000        12420.109            12476.393           -56.284298        0.0000E+00
     1       1.242000000        12557.331            12612.201           -54.870150        0.0000E+00
     1       1.243240000        12694.893            12748.277           -53.384018        0.0000E+00
     1       1.244480000        12832.783            12884.615           -51.832448        0.0000E+00
     1       1.245720000        12970.984            13021.210           -50.226149        0.0000E+00
     1       1.246960000        13109.479            13158.055           -48.576490        0.0000E+00
     1       1.248200000        13248.252            13295.146           -46.894605        0.0000E+00
     1       1.249440000        13387.285            13432.477           -45.191688        0.0000E+00
     1       1.250680000        13526.562            13570.041           -43.479096        0.0000E+00
     1       1.251920000        13666.066            13707.834           -41.768146        0.0000E+00
     1       1.253160000        13805.780            13845.850           -40.070314        0.0000E+00
     1       1.254400000        13945.687            13984.084           -38.397138        0.0000E+00
     1       1.255640000        14085.770            14122.530           -36.760014        0.0000E+00
     1       1.256880000        14226.013            14261.184           -35.170697        0.0000E+00
     1       1.258120000        14366.398            14400.039           -33.640800        0.0000E+00
     1       1.259360000        14506.909            14539.092           -32.182095        0.0000E+00
     1       1.260600000        14647.530            14678.336           -30.806309        0.0000E+00
     1       1.261840000        14788.242            14817.767           -29.525228        0.0000E+00
     1       1.263080000        14929.035            14957.380           -28.344393        0.0000E+00
     1       1.264320000        15069.919            15097.170           -27.250701        0.0000E+00
     1       1.265560000        15210.904            15237.131           -26.227903        0.0000E+00
     1       1.266800000        15352.001            15377.261           -25.259806        0.0000E+00
     1       1.268040000        15493.222            15517.552           -24.330269        0.0000E+00
     1       1.269280000        15634.579            15658.002           -23.423006        0.0000E+00
     1       1.270520000        15776.083            15798.605           -22.522182        0.0000E+00
     1       1.271760000        15917.745            15939.356           -21.611717        0.0000E+00
     1       1.273000000        16059.576            16080.252           -20.675679        0.0000E+00
     1       1.274240000        16201.589            16221.287           -19.698089        0.0000E+00
     1       1.275480000        16343.795            16362.458           -18.663219        0.0000E+00
     1       1.276720000        16486.204            16503.759           -17.555188        0.0000E+00
     1       1.277960000        16628.829            16645.187           -16.358268        0.0000E+00
     1       1.279200000        16771.680            16786.737           -15.056775        0.0000E+00
